Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,GCV
5.2,31.1,40.7,23.0,22.84477109
10.7,28.0,30.0,31.3,15.49101361
27.7,26.0,22.0,24.3,10.19319121
8.3,31.6,37.5,22.6,19.51683965
30.3,27.8,27.6,14.3,10.54425064
6.7,34.5,42.7,16.1,23.91854064
11.1,26.0,30.8,32.1,14.8904609
6.8,31.9,42.7,18.6,22.32028402
5.3,36.0,44.7,14.0,25.33136759
5.5,32.3,45.4,16.8,24.65191714
9.2,30.9,33.0,26.9,17.53198225
26.1,23.8,32.7,17.4,12.39874077
30.8,23.4,24.8,21.0,9.60489426
34.4,25.3,26.5,13.8,9.8218244
13.47,29.19,28.99,28.35,14.75688651
15.56,25.87,32.89,25.68,15.11109252
28.3,30.3,24.4,17.0,11.88973388
11.6,32.3,33.2,22.9,17.69521329
21.6,37.8,30.6,10.0,17.14177898
10.3,30.4,32.9,26.4,17.35076303
9.7,35.1,32.1,23.1,18.14888897
29.7,21.6,30.7,18.0,10.58586314
10.3,32.1,36.6,21.0,19.13098332
10.0,32.2,36.8,21.0,19.1655738
34.3,26.8,27.1,11.8,10.58035389
8.7,33.1,31.9,26.3,18.35828335
17.2,28.64,31.94,22.22,15.16775418
12.6,28.4,27.4,31.6,14.13787277
31.51,25.55,29.32,13.62,11.12027516
31.39,30.22,29.03,9.36,11.83006875
13.99,38.43,25.87,21.71,16.91105681
23.55,29.7,26.37,20.38,12.17453697
39.2,26.8,28.0,6.0,9.45776978
30.2,23.5,25.3,21.0,9.37517116
36.9,26.7,26.2,10.2,9.53972277
30.0,24.2,33.2,12.6,11.64681042
32.1,27.3,28.5,12.1,11.20586238
17.7,37.38,30.87,14.05,17.10717551
13.44,28.2,34.41,23.95,16.41140674
23.4,31.0,34.3,11.3,15.14620035
24.16,34.27,27.04,14.53,13.74449139
10.5,32.5,37.9,19.1,19.15690462
19.5,32.9,32.8,14.8,16.01273768
12.1,32.3,29.7,25.9,16.67392988
30.88,29.31,28.5,11.31,11.65464647
29.89,31.79,28.35,9.97,12.31855612
24.25,30.88,23.39,21.48,11.642502
32.0,55.7,4.1,8.2,11.97145365
10.6,30.7,40.0,18.7,19.80253457
14.8,38.16,29.87,17.17,17.35146394
11.5,34.1,40.6,13.8,20.86971839
17.84,28.36,45.53,8.27,19.01000062
16.8,31.4,35.4,16.4,16.82257549
28.42,30.82,29.91,10.85,12.51030531
30.52,30.51,30.25,8.72,11.99956952
11.9,35.5,43.5,9.1,22.0959634
12.8,31.8,35.0,20.4,17.30494804
22.4,32.8,36.3,8.5,16.47982098
12.6,28.4,32.1,26.9,15.26680939
28.1,31.3,33.1,7.5,14.15003224
15.94,30.55,35.96,17.55,16.56460873
32.9,28.1,29.6,9.4,11.18930405
14.11,32.4,43.0,10.49,20.23625749
18.54,30.28,46.18,5.0,19.17000909
15.61,31.45,44.25,8.69,19.9711827
12.61,31.31,41.11,14.97,19.74114093
23.9,31.8,40.1,4.2,16.7784554
12.3,36.5,40.4,10.8,21.2924534
29.6,27.6,32.3,10.5,11.97511476
23.08,31.83,25.5,19.59,12.43714703
30.23,28.18,31.33,10.26,12.28949034
23.5,26.5,31.9,18.1,12.63957534
34.68,25.44,32.95,6.93,11.04864455
14.46,33.02,42.38,10.14,19.93925972
23.7,26.5,37.1,12.7,14.02496906
16.81,31.77,42.54,8.88,19.25424115
31.9,26.7,33.9,7.5,12.05235863
20.77,29.47,42.78,6.98,17.58300374
18.41,30.01,47.36,4.22,19.29523003
11.8,31.4,41.8,15.0,19.62683633
26.11,29.19,29.27,15.43,12.10346382
8.4,32.9,55.7,3.0,26.23684904
14.12,30.29,38.55,17.04,17.82112257
31.7,28.6,30.6,9.1,11.75431123
11.3,34.3,39.1,15.3,19.66605052
11.3,40.1,43.2,5.4,23.39477499
23.1,32.5,36.8,7.6,15.90969058
23.55,29.78,32.33,14.34,13.69723435
21.95,30.42,43.46,4.17,17.7381248
21.28,31.12,37.35,10.25,16.12340411
25.41,31.86,38.85,3.88,16.29125173
32.5,26.6,29.6,11.3,10.79165754
33.17,26.91,33.92,6.0,11.97813531
33.6,27.4,35.0,4.0,12.00448741
26.5,23.7,36.7,13.1,12.74154553
20.21,27.85,31.76,20.18,13.66122921
30.87,29.31,31.72,8.1,12.17183828
31.16,29.0,31.67,8.17,11.65528106
19.48,30.9,45.45,4.17,18.79708682
14.51,32.76,42.74,9.99,19.8939578
33.1,27.2,32.9,6.8,11.56631451
14.95,32.64,47.17,5.24,21.36269996
31.4,28.4,33.0,7.2,12.14716781
26.07,31.02,28.76,14.15,12.53440204
15.45,31.65,45.28,7.62,20.44341857
19.41,28.83,44.57,7.19,17.9239617
34.2,26.7,31.9,7.2,10.96315455
18.17,31.21,44.79,5.83,19.04979488
15.94,30.16,44.45,9.45,19.28947701
30.8,27.6,34.5,7.1,11.89963823
24.47,28.19,45.5,1.84,17.01266814
21.32,31.78,43.54,3.36,18.40773668
23.17,31.29,42.92,2.62,17.54835899
26.84,28.24,43.06,1.86,15.86527941
25.4,27.44,44.33,2.83,16.34028836
18.81,28.43,38.72,14.04,16.57083857
19.38,34.13,40.36,6.13,18.28101704
21.09,29.93,42.97,6.01,17.25890473
16.01,31.86,45.47,6.66,20.00136281
25.2,28.36,44.41,2.03,16.57545373
22.85,31.1,44.27,1.78,18.13958399
31.9,26.6,32.5,9.0,11.50461488
15.0,33.3,43.4,8.3,20.24401939
29.3,32.1,32.3,6.3,13.27476124
37.01,28.04,26.37,8.58,9.38700311
