Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV
5.20,31.10,40.70,23.00,4.90,57.90,1.20,12.30,.70,22.84477109
10.70,28.00,30.00,31.30,3.70,44.60,1.00,17.50,1.90,15.49101361
27.70,26.00,22.00,24.30,5.90,34.50,.60,33.10,1.60,10.19319121
8.30,31.60,37.50,22.60,3.90,54.90,1.20,16.10,1.30,19.51683965
30.30,27.80,27.60,14.30,6.00,36.80,.80,35.70,6.40,10.54425064
6.70,34.50,42.70,16.10,5.40,62.10,1.20,14.80,.40,23.91854064
11.10,26.00,30.80,32.10,4.20,41.70,1.40,18.90,1.70,14.89046090
6.80,31.90,42.70,18.60,5.00,59.60,1.20,15.10,.50,22.32028402
5.30,36.00,44.70,14.00,5.40,64.90,1.30,13.90,.50,25.33136759
5.50,32.30,45.40,16.80,5.10,62.40,1.20,14.10,.40,24.65191714
9.20,30.90,33.00,26.90,4.60,47.20,1.10,17.60,2.60,17.53198225
26.10,23.80,32.70,17.40,5.70,43.00,.60,32.70,.60,12.39874077
30.80,23.40,24.80,21.00,6.10,34.80,.60,36.90,.60,9.60489426
34.40,25.30,26.50,13.80,6.60,38.00,.70,40.10,.80,9.82182440
13.47,29.19,28.99,28.35,4.55,41.47,1.17,21.56,2.90,14.75688651
15.56,25.87,32.89,25.68,5.02,43.93,1.04,23.45,.88,15.11109252
28.30,30.30,24.40,17.00,6.50,40.20,.70,34.80,.80,11.88973388
11.60,32.30,33.20,22.90,4.90,49.50,1.00,20.00,1.70,17.69521329
21.60,37.80,30.60,10.00,6.70,51.70,1.20,28.90,1.50,17.14177898
10.30,30.40,32.90,26.40,4.60,46.70,.90,18.90,2.50,17.35076303
9.70,35.10,32.10,23.10,4.60,49.00,.90,18.40,4.00,18.14888897
29.70,21.60,30.70,18.00,5.90,39.00,.50,36.20,.40,10.58586314
10.30,32.10,36.60,21.00,4.90,52.30,.90,19.00,1.90,19.13098332
10.00,32.20,36.80,21.00,4.90,51.80,1.20,18.90,2.20,19.16557380
34.30,26.80,27.10,11.80,6.70,39.70,.70,40.50,.60,10.58035389
8.70,33.10,31.90,26.30,5.00,48.70,1.10,17.80,1.10,18.35828335
17.20,28.64,31.94,22.22,5.40,44.82,.83,25.36,1.37,15.16775418
12.60,28.40,27.40,31.60,4.60,39.50,1.40,21.30,1.60,14.13787277
31.51,25.55,29.32,13.62,6.41,40.51,.59,38.15,.72,11.12027516
31.39,30.22,29.03,9.36,6.48,42.69,.98,38.06,2.43,11.83006875
13.99,38.43,25.87,21.71,5.21,47.57,1.44,22.63,1.44,16.91105681
23.55,29.70,26.37,20.38,5.31,40.20,.89,31.13,2.09,12.17453697
39.20,26.80,28.00,6.00,6.89,40.17,.69,45.03,1.22,9.45776978
30.20,23.50,25.30,21.00,5.90,34.60,.50,37.20,.80,9.37517116
36.90,26.70,26.20,10.20,6.90,38.00,.60,43.20,1.10,9.53972277
30.00,24.20,33.20,12.60,6.30,42.50,.60,37.10,.90,11.64681042
32.10,27.30,28.50,12.10,6.60,41.10,.70,39.00,.50,11.20586238
17.70,37.38,30.87,14.05,5.56,51.40,1.64,26.24,1.11,17.10717551
13.44,28.20,34.41,23.95,4.75,46.76,1.07,22.51,.96,16.41140674
23.40,31.00,34.30,11.30,6.10,48.50,1.00,31.40,1.70,15.14620035
24.16,34.27,27.04,14.53,5.98,45.08,.79,32.10,1.52,13.74449139
10.50,32.50,37.90,19.10,5.10,52.40,1.10,20.00,2.30,19.15690462
19.50,32.90,32.80,14.80,5.90,48.00,1.10,28.00,2.20,16.01273768
12.10,32.30,29.70,25.90,4.80,46.10,.90,21.50,.80,16.67392988
30.88,29.31,28.50,11.31,6.33,42.38,1.03,38.21,.74,11.65464647
29.89,31.79,28.35,9.97,6.45,43.42,.92,37.35,1.89,12.31855612
24.25,30.88,23.39,21.48,5.60,38.80,.67,32.40,1.05,11.64250200
32.00,55.70,4.10,8.20,6.70,44.70,.80,39.30,.30,11.97145365
10.60,30.70,40.00,18.70,4.90,54.20,1.20,20.30,.70,19.80253457
14.80,38.16,29.87,17.17,5.25,50.07,1.55,24.08,1.88,17.35146394
11.50,34.10,40.60,13.80,5.60,57.20,1.60,21.20,.60,20.86971839
17.84,28.36,45.53,8.27,5.82,57.30,1.13,26.92,.56,19.01000062
16.80,31.40,35.40,16.40,5.40,50.00,1.40,26.00,.80,16.82257549
28.42,30.82,29.91,10.85,6.10,45.38,.95,36.36,.36,12.51030531
30.52,30.51,30.25,8.72,6.46,44.19,.99,38.23,1.41,11.99956952
11.90,35.50,43.50,9.10,5.80,60.60,1.80,21.70,1.00,22.09596340
12.80,31.80,35.00,20.40,5.20,48.50,1.50,22.50,1.90,17.30494804
22.40,32.80,36.30,8.50,6.20,52.00,1.50,31.10,.70,16.47982098
12.60,28.40,32.10,26.90,4.20,43.10,1.50,22.40,1.90,15.26680939
28.10,31.30,33.10,7.50,6.80,48.20,.90,36.20,.40,14.15003224
15.94,30.55,35.96,17.55,5.26,49.61,1.38,25.43,.77,16.56460873
32.90,28.10,29.60,9.40,6.80,41.90,.70,40.50,.70,11.18930405
14.11,32.40,43.00,10.49,5.63,58.33,1.13,23.85,.57,20.23625749
18.54,30.28,46.18,5.00,6.13,57.87,1.65,27.79,1.56,19.17000909
15.61,31.45,44.25,8.69,5.91,58.21,1.20,25.23,.76,19.97118270
12.61,31.31,41.11,14.97,5.14,55.04,1.21,22.57,1.07,19.74114093
23.90,31.80,40.10,4.20,6.40,54.20,1.60,32.60,1.00,16.77845540
12.30,36.50,40.40,10.80,5.90,58.40,1.30,22.30,1.30,21.29245340
29.60,27.60,32.30,10.50,6.10,44.00,.70,37.70,1.00,11.97511476
23.08,31.83,25.50,19.59,5.50,40.66,.69,31.92,1.64,12.43714703
30.23,28.18,31.33,10.26,6.45,43.46,.61,38.29,.93,12.28949034
23.50,26.50,31.90,18.10,5.10,42.00,.70,32.40,1.70,12.63957534
34.68,25.44,32.95,6.93,6.72,42.89,.60,42.34,.52,11.04864455
14.46,33.02,42.38,10.14,5.81,57.55,1.21,24.39,.90,19.93925972
23.70,26.50,37.10,12.70,5.70,47.20,.60,32.60,1.20,14.02496906
16.81,31.77,42.54,8.88,6.06,56.79,1.17,26.49,.61,19.25424115
31.90,26.70,33.90,7.50,6.60,44.80,.80,39.90,.40,12.05235863
20.77,29.47,42.78,6.98,5.70,56.12,.93,30.05,.22,17.58300374
18.41,30.01,47.36,4.22,5.98,58.68,1.59,27.97,1.56,19.29523003
11.80,31.40,41.80,15.00,5.60,54.00,1.00,22.10,2.30,19.62683633
26.11,29.19,29.27,15.43,5.53,41.68,1.00,34.82,1.54,12.10346382
8.40,32.90,55.70,3.00,5.50,69.70,1.70,19.10,1.00,26.23684904
14.12,30.29,38.55,17.04,5.53,51.35,1.03,24.18,.87,17.82112257
31.70,28.60,30.60,9.10,6.60,43.30,.80,39.80,.40,11.75431123
11.30,34.30,39.10,15.30,5.60,54.10,1.50,21.70,1.80,19.66605052
11.30,40.10,43.20,5.40,6.10,65.10,1.30,21.70,.40,23.39477499
23.10,32.50,36.80,7.60,6.10,50.90,1.40,32.20,1.80,15.90969058
23.55,29.78,32.33,14.34,5.80,45.44,1.06,32.60,.76,13.69723435
21.95,30.42,43.46,4.17,6.01,57.70,.83,31.18,.11,17.73812480
21.28,31.12,37.35,10.25,5.91,51.26,.92,30.60,1.06,16.12340411
25.41,31.86,38.85,3.88,6.54,54.40,.72,34.30,.16,16.29125173
32.50,26.60,29.60,11.30,6.50,40.60,.70,40.60,.30,10.79165754
33.17,26.91,33.92,6.00,6.69,45.18,.68,41.20,.25,11.97813531
33.60,27.40,35.00,4.00,7.00,46.60,.70,41.60,.10,12.00448741
26.50,23.70,36.70,13.10,5.50,44.50,.60,35.30,1.00,12.74154553
20.21,27.85,31.76,20.18,5.41,43.67,.70,29.72,.32,13.66122921
30.87,29.31,31.72,8.10,6.47,44.06,.96,39.20,1.21,12.17183828
31.16,29.00,31.67,8.17,6.29,43.82,.95,39.46,1.31,11.65528106
19.48,30.90,45.45,4.17,6.09,57.82,1.82,29.09,1.01,18.79708682
14.51,32.76,42.74,9.99,5.56,56.97,1.06,24.69,1.73,19.89395780
33.10,27.20,32.90,6.80,6.60,44.20,.70,41.20,.50,11.56631451
14.95,32.64,47.17,5.24,5.78,61.86,1.34,25.09,.69,21.36269996
31.40,28.40,33.00,7.20,6.40,45.00,.70,39.70,1.00,12.14716781
26.07,31.02,28.76,14.15,5.71,43.28,.89,34.97,1.00,12.53440204
15.45,31.65,45.28,7.62,5.81,58.41,1.18,25.54,1.44,20.44341857
19.41,28.83,44.57,7.19,6.01,55.32,1.77,29.06,.65,17.92396170
34.20,26.70,31.90,7.20,6.70,42.70,.60,42.20,.60,10.96315455
18.17,31.21,44.79,5.83,5.88,57.31,2.05,27.98,.95,19.04979488
15.94,30.16,44.45,9.45,5.49,57.34,1.35,26.00,.37,19.28947701
30.80,27.60,34.50,7.10,6.20,43.90,.80,39.20,2.80,11.89963823
24.47,28.19,45.50,1.84,6.18,57.43,.87,33.58,.10,17.01266814
21.32,31.78,43.54,3.36,6.08,58.74,.95,30.79,.08,18.40773668
23.17,31.29,42.92,2.62,6.31,57.69,.82,32.45,.11,17.54835899
26.84,28.24,43.06,1.86,6.38,55.28,.61,35.71,.16,15.86527941
25.40,27.44,44.33,2.83,6.19,55.78,.69,34.44,.07,16.34028836
18.81,28.43,38.72,14.04,5.62,49.97,1.08,28.59,.70,16.57083857
19.38,34.13,40.36,6.13,5.87,56.35,1.46,29.10,1.09,18.28101704
21.09,29.93,42.97,6.01,6.07,55.13,.67,30.64,1.48,17.25890473
16.01,31.86,45.47,6.66,5.89,59.14,1.12,26.13,1.06,20.00136281
25.20,28.36,44.41,2.03,6.23,56.66,.64,34.33,.11,16.57545373
22.85,31.10,44.27,1.78,6.34,58.55,.96,32.26,.11,18.13958399
31.90,26.60,32.50,9.00,6.40,43.20,.80,40.30,.30,11.50461488
15.00,33.30,43.40,8.30,6.00,58.60,1.00,25.30,.80,20.24401939
29.30,32.10,32.30,6.30,6.70,47.00,1.10,38.00,.90,13.27476124
37.01,28.04,26.37,8.58,6.82,38.70,.65,44.86,.39,9.38700311
21.79,31.77,44.88,1.56,6.30,59.59,1.03,31.38,.14,18.56498855
14.25,28.78,39.97,17.00,5.01,51.66,1.04,24.70,.59,17.83830736
18.19,30.01,47.90,3.90,5.95,58.22,1.65,28.20,2.08,19.30923609
35.50,27.60,30.90,6.00,7.00,42.40,.60,43.60,.40,10.71685050
21.93,29.46,46.58,2.03,6.19,59.13,1.01,31.56,.08,18.40492716
21.78,31.51,40.73,5.98,6.18,54.43,.82,31.43,1.16,17.12240079
9.00,32.00,49.40,9.60,5.30,62.90,1.50,20.10,.60,23.29080718
30.50,29.40,34.60,5.50,6.70,47.40,.90,39.20,.30,13.00114163
24.55,34.67,26.94,13.84,5.97,44.59,.91,33.92,.77,13.45994115
34.30,26.10,31.10,8.50,6.70,41.30,.40,42.60,.50,10.67168240
18.15,31.89,45.86,4.10,5.88,59.13,1.67,28.27,.95,19.41189313
11.20,30.90,44.80,13.10,5.10,58.30,1.10,22.10,.30,20.30504743
24.71,34.88,31.73,8.68,6.06,48.93,1.07,34.10,1.16,14.37270221
15.90,33.11,46.26,4.73,5.91,60.80,1.24,26.29,1.03,20.58673539
17.43,35.59,42.15,4.83,5.71,59.47,1.53,27.67,.79,19.67495878
21.32,29.56,46.61,2.51,6.10,59.12,1.00,31.15,.12,18.63998706
30.90,27.72,35.09,6.29,6.53,46.31,.64,39.66,.57,12.79293761
21.44,30.57,45.43,2.56,6.27,58.91,.92,31.26,.08,18.41814674
20.26,30.75,45.15,3.84,6.12,57.62,1.31,30.23,.88,18.47043248
22.86,32.30,43.15,1.69,6.47,58.31,.86,32.55,.12,18.05293365
10.30,39.40,40.50,9.80,5.70,61.00,1.40,21.40,.70,22.28242391
17.51,29.81,46.39,6.29,5.82,58.39,1.35,27.81,.34,19.29531361
21.18,31.14,45.62,2.06,6.04,59.73,.99,31.07,.11,18.74113828
31.52,28.79,35.14,4.55,6.69,46.93,1.05,40.26,.52,12.64145203
17.51,30.57,47.04,4.88,5.66,59.49,1.23,27.83,.91,19.78437966
